log,incident_type,is_mh
report of a missing person - family member states that xxxxx missing for approximately 24 hours - xxxxx has history of depression and anxiety - has been displaying signs of emotional distress - concerns that xxxxx may be at risk of self-harm or attempting suicide - physical description of xxxxx as a xxxxx xxxxx,Missing Person,TRUE
report of suspicious behavior in the park - xxxxx observed acting erratically and displaying hyperactive behavior - believed to be under the influence of unknown substances - appeared disoriented and unable to hold a coherent conversation - known to local psychiatric services - concerns that xxxxx may be a harm to themselves or others - physical description of xxxxx as xxxxxx,Drugs,TRUE
"experiencing verbal and physical abuse from partner - describes feelings of constant fear, anxiety, and sadness - has started to isolate themselves from friends and family - recently witnessed partner engage in destructive behaviors and express threats of harming themselves if victim decides to leave - victim notes a decline in mood and appearance due to emotional anguish",Domestic Abuse,TRUE
report of harassment/stalking - victim reports repeated and unwanted contact from xxxxx - victim expresses fear and anxiety - xxxxx has a history of mania - victim reports feeling constantly watched and followed - xxxxx displaying signs of increased paranoia and agitation - physical description of xxxxx as a xxxxx xxxxx.,Harassment/Stalking,TRUE
xxxxx year old male named xxxxx reported trespassing - was found on private property at xxxxx - owner of property alerted authorities as trespasser appeared suspicious - trespasser claimed to be lost and accidentally entered private property - showed no signs of malicious intent - law enforcement was contacted and trespasser was asked to leave the premises,Trespassing,FALSE
caller discovered personal belongings missing from home - suspects work crew who performed repairs recently - caller's neighbors reported similar incidents after crew visited their homes - caller wants police assistance - no information on the crew's identity - assurance required for caller to feel safe in their home.,Theft,FALSE
concerned neighbor - observed frequent yelling and arguing from the house - suspicious sound of objects breaking - worried for the safety of a woman and a child - unknown names - unsure of exact age of the child - attempted to communicate with no response - ongoing noise can still be heard - fear of potential harm to occupants - caller identified as xxxxx,Domestic Abuse,FALSE
"Caller reports a domestic disturbance at the residence of xxxxx - caller observes aggressive behavior and possible self-harming actions by **xxxxx**, visually distraught - states **xxxxx** has a known history of depression and anxiety, posing a potential risk to their own safety - caller unable to establish communication with **xxxxx** - immediate intervention of emergency services advised to prevent possible self-harm.",Domestic Disturbance,TRUE
caller reports person tents and living in vacant lot next to their home - concerned for person's welBeing - caller states person talks to themselves often - appears to be having office - unsure if person has any weapons - caller has tried talking to person but person seems unresponsive - person's name is xxxxxxx - vacant lot address is xxxxxx - caller requests police assistance and possible medical attention.,Trespassing,TRUE
Caller reported that there is an individual trespassing on their private property - the individual appears to be disoriented and confused - caller attempted to approach the individual but they seemed highly agitated and verbally became hostile towards the caller - observed the individual talking to themselves and displaying signs of paranoia ,Trespassing,TRUE
Bystander observed a case of harassment/stalking in a public park - a female individual exhibited suspicious behavior towards another female individual - the suspect followed the victim persistently and made repeated unwanted advances - victim alerted nearby security officer for assistance - security officer intervened and directed the victim to a safe location - the suspect was last seen walking towards a black sedan with license plate XXXX-XXXX.,Harassment/Stalking,FALSE
